accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3HA77,UNKNOWN,control,Control (Standard),236734.80187,1.56,,3,Medium,13
G3H661,TK2,control,Control (Standard),35620.59167666666,15.63,,3,Medium,77
G3H369,TRAF3,control,Control (Standard),18557.509937,0.98,,3,High,41
G3HC12,UNKNOWN,control,Control (Standard),26172.07432666667,3.3,,3,Medium,54
G3HJS7,MTIF2,control,Control (Standard),69283.93626666667,4.01,,3,High,24
G3HXU0,TTLL12,control,Control (Standard),671771.4582666666,1.72,,3,Medium,9
G3HQ89,ATP6V1E1,control,Control (Standard),9909.800996333333,5.61,,3,Low,171
G3HME8,UNKNOWN,control,Control (Standard),15727.811255,2.84,,3,Medium,56
G3I934,UNKNOWN,control,Control (Standard),125401.63104666666,3.0,,3,Medium,30
G3I0Z1,UNKNOWN,control,Control (Standard),104485.78908333334,21.49,,3,Medium,27
G3HP74,UNKNOWN,control,Control (Standard),234321.93743333334,1.89,,3,High,28
G3ILQ4,UNKNOWN,control,Control (Standard),39358.95911666667,2.59,,3,Medium,78
G3HT08,UNKNOWN,control,Control (Standard),3930.2827644000004,53.52,,3,Medium,104
G3I973,HYOU1,control,Control (Standard),7508.083393333333,2.41,,3,Medium,72
G3H7T9,HUWE1,control,Control (Standard),35525.810489999996,3.27,,3,High,34
G3HI05,UNKNOWN,control,Control (Standard),2430.2120422666667,6.92,,3,Medium,108
G3HF29,UNKNOWN,control,Control (Standard),3961.2369273333334,4.1,,3,Medium,138
G3IJF2,UNKNOWN,control,Control (Standard),4222.431411333334,10.73,,3,Medium,107
G3HCY8,NACC1,control,Control (Standard),8451.867776333334,13.43,,3,Medium,96
G3ICS5,UNKNOWN,control,Control (Standard),1310.9785178666668,21.94,,3,Medium,119
G3I9V7,APOBEC2,control,Control (Standard),3193.3212556666663,35.45,,3,Medium,183
G3H4A3,UNKNOWN,control,Control (Standard),695.9504625666665,37.05,,3,Medium,130
G3I7Z7,UNKNOWN,control,Control (Standard),7038.891674333333,3.62,,3,Medium,63
G3H173,UNKNOWN,control,Control (Standard),11403.090500999999,11.66,,3,Low,112
G3H9V1,LOC100767757,control,Control (Standard),2132.8563556666663,4.99,,3,Medium,97
G3IAC3,LOC100762960,control,Control (Standard),5910.77849,35.18,,3,Low,139
G3HBJ9,METAP2,control,Control (Standard),7624.841223633332,108.12,,3,Medium,82
G3HNT8,FAM120B,control,Control (Standard),66515.93646666667,3.08,,3,Medium,58
G3HY01,UNKNOWN,control,Control (Standard),21892.455502666668,5.07,,3,Medium,85
G3HTN5,SIPA1L1,control,Control (Standard),94406.03378666665,3.51,,3,High,46
G3IKK4,UNKNOWN,control,Control (Standard),10073.249076333334,6.15,,3,Low,167
G3HI47,UNKNOWN,control,Control (Standard),41435.65098,2.93,,3,Medium,64
G3H7F0,CCDC180,control,Control (Standard),47471.88424000001,5.67,,3,Medium,52
G3HFC2,UNKNOWN,control,Control (Standard),2810.7806960000003,10.48,,3,Trace,358
G3HLE5,NDUFV3,control,Control (Standard),62242.321423333335,1.91,,3,Medium,76
G3GUD1,UNKNOWN,control,Control (Standard),3798.5949839999994,6.99,,3,Low,221
G3IL66,UNKNOWN,control,Control (Standard),10127.819819333332,10.93,,3,Low,124
G3HUU1,CRNN,control,Control (Standard),19656.075836,3.9,,3,Low,117
G3H6M3,EXO1,control,Control (Standard),33390.43419666667,5.67,,3,Medium,79
G3HWS7,LIMD1,control,Control (Standard),36356.79779333333,1.61,,3,Medium,91
G3HAQ3,FAM83C,control,Control (Standard),29561.784422,13.16,,3,Medium,83
G3HSZ8,UNKNOWN,control,Control (Standard),6345.295997,1.59,,3,Low,144
G3I3F5,UNKNOWN,control,Control (Standard),28422.447736666665,8.59,,3,Medium,113
G3I3W5,TRI66,control,Control (Standard),26695.303853999998,1.32,,3,Medium,73
G3HYA9,UNKNOWN,control,Control (Standard),99432.67438666667,6.01,,3,High,47
G3I9X8,SPTAN1,control,Control (Standard),37173.42313266667,10.25,,3,Medium,59
G3HDX8,C1QT2,control,Control (Standard),15884.555536666667,2.45,,3,Medium,169
G3H3E5,UNKNOWN,control,Control (Standard),30537.358999999997,3.98,,3,Medium,92
G3GZG5,UNKNOWN,control,Control (Standard),27044.506706666667,7.96,,3,Medium,133
G3GZH3,ACKR4,control,Control (Standard),5797.320144666667,8.3,,3,Low,163
