accession,gene_name,condition,condition_label,mean_abundance,cv_pct,log2fc,detected,hcp_risk,abundance_rank
G3H6P9,MSMO1,lowDO,Low Dissolved Oxygen,4604.617905966667,17.45,-0.9069,3,Low,215
G3GVP9,UNKNOWN,lowDO,Low Dissolved Oxygen,2232.1551342999996,8.95,-2.4766,3,Medium,234
G3I302,UNKNOWN,lowDO,Low Dissolved Oxygen,5384.342431666667,25.81,-2.5433,3,Medium,126
G3H7D3,UNKNOWN,lowDO,Low Dissolved Oxygen,2922.42233,9.76,-1.353,3,Medium,268
G3I7P2,GPRIN3,lowDO,Low Dissolved Oxygen,6462.9383259999995,8.19,-1.9013,3,Medium,148
G3GX48,HRH1,lowDO,Low Dissolved Oxygen,2937.163441,7.61,-2.2465,3,Medium,211
G3HQS4,UNKNOWN,lowDO,Low Dissolved Oxygen,6696.861794333333,28.91,-2.2899,3,Medium,127
G3I4Y3,UNKNOWN,lowDO,Low Dissolved Oxygen,22617.422982999997,6.43,-1.8504,3,Medium,60
G3IP09,UNKNOWN,lowDO,Low Dissolved Oxygen,1473.7644334666668,15.03,-2.0512,3,Medium,337
G3HKV2,UNKNOWN,lowDO,Low Dissolved Oxygen,832.93080484,28.93,-3.9182,3,Medium,277
G3HD62,FAM110B,lowDO,Low Dissolved Oxygen,1613.8588940666668,26.58,-4.5569,3,Medium,132
G3H3P6,ARHGAP12,lowDO,Low Dissolved Oxygen,3768.719942333333,10.46,-3.234,3,Medium,128
G3I4K9,LOC100757535,lowDO,Low Dissolved Oxygen,5311.5403253333325,6.34,-2.2268,3,Medium,142
G3HIH5,UNKNOWN,lowDO,Low Dissolved Oxygen,900.6173481666666,40.55,-2.7564,3,Medium,368
G3HSA3,UNKNOWN,lowDO,Low Dissolved Oxygen,1782.2878215333333,4.84,-0.9847,3,Medium,405
G3H1Q5,UNKNOWN,lowDO,Low Dissolved Oxygen,4642.7199245,19.46,-2.97,3,Medium,118
G3I5J5,UNKNOWN,lowDO,Low Dissolved Oxygen,6705.004084166667,25.38,-1.7557,3,Medium,145
G3IPN9,UNKNOWN,lowDO,Low Dissolved Oxygen,3700.2596039,6.68,-2.962,3,Medium,143
G3I1Q8,OSGEP,lowDO,Low Dissolved Oxygen,599.116671,173.21,-4.0736,1,Medium,322
G3HGH1,UNKNOWN,lowDO,Low Dissolved Oxygen,1327.0424270666667,50.86,-1.0271,3,Medium,426
G3IC82,LOC100769148,lowDO,Low Dissolved Oxygen,594.3200671566666,72.98,-4.2652,3,Medium,298
G3HRP2,CNPY2,lowDO,Low Dissolved Oxygen,1294.8038754333334,24.78,-1.2812,3,Medium,416
G3I5G7,GCM1,lowDO,Low Dissolved Oxygen,1541.8075464333333,33.5,-2.6089,3,Medium,252
G3HRZ4,UNKNOWN,lowDO,Low Dissolved Oxygen,670.2776033666668,22.58,-2.6871,3,Medium,447
G3HPQ3,UNKNOWN,lowDO,Low Dissolved Oxygen,2782.1279059666667,16.99,-2.6373,3,Medium,189
G3H078,ZBTB20,lowDO,Low Dissolved Oxygen,6112.316037333333,12.93,-1.3787,3,Medium,141
G3I644,UNKNOWN,lowDO,Low Dissolved Oxygen,732.1455058166666,88.38,-4.3347,3,Medium,250
G3IM21,UNKNOWN,lowDO,Low Dissolved Oxygen,720.2865302566667,74.5,-2.1276,3,Medium,527
G3HLZ7,AARSD1,lowDO,Low Dissolved Oxygen,2207.979804383333,127.1,-1.3366,3,Medium,288
G3I6V7,ZBTB9,lowDO,Low Dissolved Oxygen,6065.527649666667,7.2,-0.7829,3,Medium,208
G3HLP2,UNKNOWN,lowDO,Low Dissolved Oxygen,897.3149372729999,78.5,-3.9057,3,Medium,272
G3HNJ3,CLUS,lowDO,Low Dissolved Oxygen,429.54053292,13.01,4.2652,3,Medium,777
G3IBF4,HTRA1,lowDO,Low Dissolved Oxygen,480.6380843333333,5.56,2.4176,3,Medium,704
G3H0L9,CATB,lowDO,Low Dissolved Oxygen,551.1308129666667,4.53,3.185,3,Medium,713
G3I8R9,HSPA5,lowDO,Low Dissolved Oxygen,2274.1371147333334,21.59,0.956,3,High,396
G3HPV7,H4,lowDO,Low Dissolved Oxygen,2499.4381565999997,15.83,3.2564,3,Medium,511
G3I6E6,ACTB,lowDO,Low Dissolved Oxygen,71.25177348533333,52.7,4.2682,3,Medium,909
G3ID82,ACTBL,lowDO,Low Dissolved Oxygen,95.54128775666668,8.68,5.0935,3,Medium,932
G3I501,LOC103161507,lowDO,Low Dissolved Oxygen,58.85469643766667,17.53,-0.9451,3,Medium,906
G3IE25,CLTA,lowDO,Low Dissolved Oxygen,83.63181759000001,16.34,5.0819,3,Medium,943
G3HAC6,TTN,lowDO,Low Dissolved Oxygen,1913.3302582000003,6.84,-0.5505,3,Trace,384
G3HMG1,RS13,lowDO,Low Dissolved Oxygen,16.518919505333333,30.56,3.5453,3,Medium,1022
G3GTJ3,GAPDH,lowDO,Low Dissolved Oxygen,154.76258357333333,24.35,2.5112,3,High,840
G3HDU8,LOC100754683,lowDO,Low Dissolved Oxygen,1763.3444611333334,9.56,3.4542,3,Medium,594
G3GXZ2,LBP,lowDO,Low Dissolved Oxygen,1092.4854121666667,15.84,0.249,3,Trace,519
G3H3E6,TIMP2,lowDO,Low Dissolved Oxygen,63.8159095,14.23,0.2395,3,Medium,893
G3HUW8,RS4X,lowDO,Low Dissolved Oxygen,11.315495620333335,20.37,2.2285,3,Medium,1118
G3HHB8,NMD3,lowDO,Low Dissolved Oxygen,555.2803064333333,9.09,4.7801,3,Medium,821
G3GU30,LOC100770677,lowDO,Low Dissolved Oxygen,9.948217882666667,26.62,1.6423,3,Medium,1062
G3HEV6,BIRC6,lowDO,Low Dissolved Oxygen,10260.237736333334,12.54,0.0537,3,Low,129
G3HIM1,HSPG2,lowDO,Low Dissolved Oxygen,2193.2211902,5.75,-0.465,3,Trace,335
G3H6L8,CEP170,lowDO,Low Dissolved Oxygen,6456.243690333333,8.31,-0.0495,3,Low,224
G3HLK3,GRN,lowDO,Low Dissolved Oxygen,49.195150818,7.22,1.3649,3,Medium,1005
G3IK05,MFGM,lowDO,Low Dissolved Oxygen,148.48692491666668,4.94,6.8023,3,Medium,939
G3ICD3,MFGM,lowDO,Low Dissolved Oxygen,236.10578085666666,8.5,4.3665,3,Medium,867
G3GYP9,PRDX1,lowDO,Low Dissolved Oxygen,98.90890926666668,11.14,3.3929,3,Medium,991
G3HKK4,RAI2,lowDO,Low Dissolved Oxygen,1029.9063778,45.63,0.0482,3,Trace,503
G3HSG3,TENA,lowDO,Low Dissolved Oxygen,5378.496934233333,6.78,1.2455,3,Low,290
G3HPI0,LOC100760991,lowDO,Low Dissolved Oxygen,30.031759229999995,12.33,1.7911,3,Medium,1044
G3I196,RPL14,lowDO,Low Dissolved Oxygen,18.230987291,16.19,-2.7251,3,Medium,989
G3HZW3,RPL18,lowDO,Low Dissolved Oxygen,112.52640846000001,21.37,5.1596,3,Medium,960
G3GY47,RPL26,lowDO,Low Dissolved Oxygen,11.318674499666669,16.74,2.9294,3,Medium,1065
G3ILU1,LOC100774652,lowDO,Low Dissolved Oxygen,6.967694394000001,93.16,2.3171,3,Medium,1100
G3HUJ4,H7C1T5,lowDO,Low Dissolved Oxygen,384.5182615466667,7.33,-1.7252,3,Medium,671
G3HHH9,AP3M2,lowDO,Low Dissolved Oxygen,284.4516057133333,8.41,-2.6626,3,Medium,625
G3GX64,BAHCC1,lowDO,Low Dissolved Oxygen,4420.044903733334,30.77,-0.7172,3,Low,219
G3HJF6,NR1H4,lowDO,Low Dissolved Oxygen,866.60431798,63.67,-1.9771,3,Medium,444
G3IDM2,CFL1,lowDO,Low Dissolved Oxygen,50.1924053,13.04,2.085,3,Medium,1003
G3HY68,STAG2,lowDO,Low Dissolved Oxygen,4822.206631666667,11.9,-2.0651,3,Medium,158
G3H098,CCDC96,lowDO,Low Dissolved Oxygen,10441.166917333334,24.71,1.5246,3,Medium,166
G3HLI0,CSMD3,lowDO,Low Dissolved Oxygen,4681.851636,11.87,-1.8717,3,Medium,175
G3HT77,CYFIP1,lowDO,Low Dissolved Oxygen,1804.8420211666664,15.63,-0.4478,3,Trace,314
G3GVK2,SPECC1,lowDO,Low Dissolved Oxygen,1450.6609313666668,21.2,0.0217,3,Trace,470
G3GZG7,TOPBP1,lowDO,Low Dissolved Oxygen,155.51239587333333,14.86,-5.2735,3,Medium,420
G3I2I2,PRKDC,lowDO,Low Dissolved Oxygen,950.2336981,10.94,-0.6602,3,Medium,552
G3GR97,DNAH14,lowDO,Low Dissolved Oxygen,2554.0368571000004,11.84,1.2351,3,Medium,388
G3H9S1,RNF2,lowDO,Low Dissolved Oxygen,3457.2654026666664,9.12,-0.697,3,Low,273
G3HCM1,G5C0P0,lowDO,Low Dissolved Oxygen,17.882827809000002,40.74,-1.1347,3,Trace,1035
G3HGY8,EEF1A2,lowDO,Low Dissolved Oxygen,67.36117405,10.65,4.8189,3,Medium,973
G3HSL4,EEF2,lowDO,Low Dissolved Oxygen,4057.9940926333334,16.13,-0.6207,3,Low,251
G3IEV4,ECEL1,lowDO,Low Dissolved Oxygen,1628.5575085333332,11.0,0.2083,3,Trace,509
G3H0V9,EPB42,lowDO,Low Dissolved Oxygen,692.4890589,13.94,2.8395,3,Medium,745
G3HTV8,FBF1,lowDO,Low Dissolved Oxygen,44.68538994666667,10.12,-0.2959,3,Trace,977
G3HTZ7,FCRLB,lowDO,Low Dissolved Oxygen,336.56510181999994,68.87,-1.2843,3,Medium,711
Q60426,FUR,lowDO,Low Dissolved Oxygen,2118.220146633333,10.57,-0.1353,3,Trace,367
G3HL68,GPR35,lowDO,Low Dissolved Oxygen,56104.14561333333,6.56,-0.9244,3,Medium,37
G3H3E4,LGALS3BP,lowDO,Low Dissolved Oxygen,42.139046930666666,21.18,1.877,3,Medium,1045
G3IKV5,GTF3C3,lowDO,Low Dissolved Oxygen,2573.9597723333336,17.9,0.1681,3,Trace,402
G3I3Y6,GSTP1,lowDO,Low Dissolved Oxygen,55.82798129333333,16.06,3.3618,3,Medium,1041
G3HZE6,HSPA1A,lowDO,Low Dissolved Oxygen,47.463570346000004,19.62,1.0431,3,Medium,1013
G3I5Q4,HNRNPM,lowDO,Low Dissolved Oxygen,2080.0065848,19.16,0.3276,3,Trace,382
G3H6W6,HIVEP2,lowDO,Low Dissolved Oxygen,6582.740118666666,7.89,-1.0595,3,Medium,168
G3HU05,ITLN1,lowDO,Low Dissolved Oxygen,64.053890365,20.36,-0.2749,3,Trace,954
G3HFD2,MX2,lowDO,Low Dissolved Oxygen,4.524012172,51.17,-2.8328,3,Medium,1096
G3I453,FN3KRP,lowDO,Low Dissolved Oxygen,1055.3958026,13.68,-1.5398,3,Medium,433
G3GV24,KIF2A,lowDO,Low Dissolved Oxygen,71.66086864666666,5.45,-0.4345,3,Trace,970
G3H339,LRRN1,lowDO,Low Dissolved Oxygen,930.6597603,11.03,2.4488,3,Medium,616
G3HHE3,LARS,lowDO,Low Dissolved Oxygen,72.12508886433334,35.19,2.1205,3,Medium,971
G3HE80,BPIB4,lowDO,Low Dissolved Oxygen,653.26113806,61.93,5.4497,3,Medium,694
G3GZY4,LOXL4,lowDO,Low Dissolved Oxygen,350.61474243,41.14,2.9075,3,Medium,799
G3HRK9,MMP19,lowDO,Low Dissolved Oxygen,1570.8178511333333,49.68,1.0965,3,Trace,518
G3H4X4,MAP2,lowDO,Low Dissolved Oxygen,803.7959990666667,4.13,2.8177,3,Medium,716
G3I5Y3,NSMF,lowDO,Low Dissolved Oxygen,432.5314111333333,10.86,0.2456,3,Medium,805
G3GTY0,NFRKB,lowDO,Low Dissolved Oxygen,194.56315947566668,84.27,2.4616,3,Medium,915
G3HIK1,NUP93,lowDO,Low Dissolved Oxygen,706.4051951000001,6.18,-0.2989,3,Trace,569
G3INK9,LOC100751431,lowDO,Low Dissolved Oxygen,362.4540728633333,10.54,0.6227,3,Trace,764
G3HB73,KCNH2,lowDO,Low Dissolved Oxygen,7858.295394666668,4.33,-1.2428,3,Low,106
G3IGH3,FAM75A4,lowDO,Low Dissolved Oxygen,3285.853248333333,12.69,-1.2061,3,Medium,263
G3HKJ1,IWS1,lowDO,Low Dissolved Oxygen,3302.6173569999996,7.01,0.8445,3,Trace,389
G3I0D0,LOC100771222,lowDO,Low Dissolved Oxygen,116.49955013666668,16.89,-1.5118,3,Medium,844
G3HNF6,NUMB,lowDO,Low Dissolved Oxygen,684.68673,11.75,4.5695,3,Medium,742
G3GTI1,SDK2,lowDO,Low Dissolved Oxygen,1539.2606387906665,169.13,5.5489,3,Medium,718
G3HAF8,VAC14,lowDO,Low Dissolved Oxygen,1470.4805442,34.24,-1.5231,3,Medium,408
G3I0Y7,HFM1,lowDO,Low Dissolved Oxygen,43.45312304733334,16.39,-5.7994,3,Medium,619
G3HW84,TATDN2,lowDO,Low Dissolved Oxygen,680.7162299666666,17.6,-0.1338,3,Trace,598
G3IKR5,PWWP2B,lowDO,Low Dissolved Oxygen,1193.8448641333332,13.38,1.9368,3,Medium,530
G3H3Q1,PKM,lowDO,Low Dissolved Oxygen,24.705838623666665,11.77,3.6459,3,Medium,1110
G3H1G4,RAB11FIP1,lowDO,Low Dissolved Oxygen,1997.1860890099997,37.62,1.7754,3,Medium,466
G3HG15,RGL1,lowDO,Low Dissolved Oxygen,344.5906499999999,5.64,3.4586,3,Medium,823
G3HYG1,RFC4,lowDO,Low Dissolved Oxygen,2767.021868233333,27.05,1.2801,3,Medium,370
G3GXX1,RBL1,lowDO,Low Dissolved Oxygen,541.7071394999999,22.66,-1.1918,3,Medium,610
G3HHP8,RAI1,lowDO,Low Dissolved Oxygen,6877.275977833334,20.77,-0.2816,3,Low,186
G3HP03,EWSR1,lowDO,Low Dissolved Oxygen,1029.9988934333333,12.71,1.8897,3,Trace,662
G3IFB0,SRRM2,lowDO,Low Dissolved Oxygen,1307.8936512,7.41,-0.6672,3,Trace,462
G3HLS6,STK4,lowDO,Low Dissolved Oxygen,6747.441817333332,7.32,0.4072,3,Low,210
G3HYA6,KIAA1217,lowDO,Low Dissolved Oxygen,234.22573721666666,5.89,-2.3644,3,Medium,632
G3I9F9,STAT1,lowDO,Low Dissolved Oxygen,1000.5825759333334,1.47,-0.0391,3,Trace,580
G3H501,SPTB,lowDO,Low Dissolved Oxygen,16.51124214633333,27.87,-3.304,3,Medium,992
G3H0W9,STAR9,lowDO,Low Dissolved Oxygen,3960.4501509999996,16.83,3.6475,3,Medium,394
G3HYB7,CCT7,lowDO,Low Dissolved Oxygen,4928.591469333333,5.72,0.0899,3,Low,216
G3IF79,TRIP11,lowDO,Low Dissolved Oxygen,518.8186271666667,3.94,-1.469,3,Medium,595
G3HCN7,HIVEP3,lowDO,Low Dissolved Oxygen,434.99736734,17.77,-2.2108,3,Medium,600
G3HNY0,ATRX,lowDO,Low Dissolved Oxygen,819.9887093333333,16.07,-0.6599,3,Trace,521
G3IIR3,TACC2,lowDO,Low Dissolved Oxygen,84.31918894666667,2.13,-1.7187,3,Medium,902
G3IFS0,TMC1,lowDO,Low Dissolved Oxygen,1099.2894426966666,74.84,1.2806,3,Medium,548
G3GXQ4,HADHB,lowDO,Low Dissolved Oxygen,2715.6075778,14.49,0.1264,3,Trace,349
G3IG01,TRIM29,lowDO,Low Dissolved Oxygen,2106.4269808000004,16.88,-0.3131,3,Trace,355
G3H1W4,TINAGL1,lowDO,Low Dissolved Oxygen,7.634884417666666,32.28,0.0718,3,Trace,1046
G3HC93,KIAA0947,lowDO,Low Dissolved Oxygen,6744.484850333334,8.56,-0.9607,3,Low,157
G3HN39,KIAA1462,lowDO,Low Dissolved Oxygen,197.10704774666667,44.8,-1.4727,3,Medium,769
G3HVI7,KIAA1671,lowDO,Low Dissolved Oxygen,1942.4084324666667,14.53,-1.2837,3,Medium,342
G3HBG7,C14ORF102,lowDO,Low Dissolved Oxygen,2165.3132872333335,123.09,2.8777,3,Trace,603
G3H4V0,HDLBP,lowDO,Low Dissolved Oxygen,3940.6467856666663,9.38,2.4695,3,Medium,398
G3I6X2,LRWD1,lowDO,Low Dissolved Oxygen,136.85432612999998,4.29,-2.118,3,Medium,806
G3HJ37,ZNF292,lowDO,Low Dissolved Oxygen,2038.7567144666666,4.69,2.0649,3,Trace,531
G3HQ51,PDK3,lowDO,Low Dissolved Oxygen,428.1133453033333,45.48,-2.0154,3,Medium,613
G3HWX9,UNKNOWN,lowDO,Low Dissolved Oxygen,3638.8917799333335,28.38,2.3734,3,Medium,403
G3GVV0,UNKNOWN,lowDO,Low Dissolved Oxygen,2922.1256423149994,46.04,-1.6465,3,Medium,242
G3HE31,PSMC2,lowDO,Low Dissolved Oxygen,2.111304468333333,94.67,1.3253,3,Medium,1164
G3GTS6,PSMD11,lowDO,Low Dissolved Oxygen,2077.4446624333336,8.94,-0.6713,3,Medium,395
G3I179,PSMD14,lowDO,Low Dissolved Oxygen,452.47650848666666,20.48,-1.1806,3,Medium,659
G3GSW2,MRPS22,lowDO,Low Dissolved Oxygen,83.30659971,6.27,4.338,3,Medium,945
G3H025,MRPS5,lowDO,Low Dissolved Oxygen,1358.4493382666667,4.5,-0.8908,3,Trace,425
G3HXP6,UNKNOWN,lowDO,Low Dissolved Oxygen,11701.544814,21.39,0.6281,3,Low,164
G3HC96,SRD5A1,lowDO,Low Dissolved Oxygen,28.813452253333327,25.97,3.4531,3,Medium,1085
G3GTL7,UNKNOWN,lowDO,Low Dissolved Oxygen,106.89758772666669,20.57,0.5369,3,Medium,832
G3I5Y2,UNKNOWN,lowDO,Low Dissolved Oxygen,82.33546697666667,55.55,0.1398,3,Trace,899
G3H018,UNKNOWN,lowDO,Low Dissolved Oxygen,15.90250323766667,33.05,1.2971,3,Medium,1078
G3I364,LOC100769604,lowDO,Low Dissolved Oxygen,9.613291362,41.02,-0.555,3,Medium,1084
G3H6W7,LOC100757586,lowDO,Low Dissolved Oxygen,11.447095272333334,18.1,3.021,3,Medium,1103
G3IM07,UNKNOWN,lowDO,Low Dissolved Oxygen,81.989219409,38.53,1.1503,3,Medium,955
G3HXF6,UNKNOWN,lowDO,Low Dissolved Oxygen,135.86614942999998,9.94,-1.2104,3,Medium,880
G3H1V1,LOC100753593,lowDO,Low Dissolved Oxygen,4.427397342,65.4,0.0439,3,Medium,1127
G3HGD7,LOC100752312,lowDO,Low Dissolved Oxygen,2.880936764,19.9,0.5311,3,Trace,1104
G3HCA8,UNKNOWN,lowDO,Low Dissolved Oxygen,215.72000731000003,25.14,-1.3022,3,Trace,739
G3HEV4,LOC103163079,lowDO,Low Dissolved Oxygen,10.821181594333332,38.75,3.5609,3,Medium,1082
G3HVW8,UNKNOWN,lowDO,Low Dissolved Oxygen,2017.1580407666668,7.81,0.052,3,Trace,385
G3GTW8,ADAMTS15,lowDO,Low Dissolved Oxygen,74.99600698333334,0.93,-0.3902,3,Trace,976
G3HGS9,AKAP11,lowDO,Low Dissolved Oxygen,1241.4620864,6.9,-1.0032,3,Medium,472
G3I8T1,AHDC1,lowDO,Low Dissolved Oxygen,5754.256593000001,14.05,0.3823,3,Low,201
G3HF07,APC,lowDO,Low Dissolved Oxygen,3070.6721706666667,4.06,2.2264,3,Medium,357
G3HCP8,ADNP2,lowDO,Low Dissolved Oxygen,142.83101555366667,55.49,0.0707,3,Medium,966
G3HH93,UNKNOWN,lowDO,Low Dissolved Oxygen,129.91878493333334,26.78,-2.0295,3,Medium,828
G3III4,UNKNOWN,lowDO,Low Dissolved Oxygen,554.7401494999999,19.69,-1.0064,3,Medium,606
G3HHK9,UNKNOWN,lowDO,Low Dissolved Oxygen,376.5943810666667,17.27,-1.8153,3,Medium,615
G3HU24,LOC100751755,lowDO,Low Dissolved Oxygen,891.3200263333333,23.16,-0.1848,3,Trace,500
G3I8H6,GPT2,lowDO,Low Dissolved Oxygen,356.65581524,43.81,-3.3087,3,Medium,486
G3GYP7,AKR1A1,lowDO,Low Dissolved Oxygen,5149.472064333333,7.76,2.2614,3,Medium,318
G3HUL2,UNKNOWN,lowDO,Low Dissolved Oxygen,968.0848469666668,11.18,5.1131,3,Medium,623
G3HCK5,UNKNOWN,lowDO,Low Dissolved Oxygen,115.65875307,38.73,-0.9904,3,Medium,890
G3I0J3,ADD1,lowDO,Low Dissolved Oxygen,10591.200397333332,7.97,0.9395,3,Low,184
G3GTT0,UNKNOWN,lowDO,Low Dissolved Oxygen,640.9166861333334,7.37,0.382,3,Trace,627
G3IAT1,UNKNOWN,lowDO,Low Dissolved Oxygen,527.8917901,18.51,4.2991,3,Medium,708
G3HS16,SLC1A1,lowDO,Low Dissolved Oxygen,1817.663599433333,16.18,-1.2356,3,Medium,359
G3H008,UNKNOWN,lowDO,Low Dissolved Oxygen,126.07769695,26.49,0.504,3,Trace,891
G3H237,ANAPC7,lowDO,Low Dissolved Oxygen,1196.5191355666666,13.55,-2.2335,3,Medium,369
G3HSN3,UNKNOWN,lowDO,Low Dissolved Oxygen,461.2146951166667,44.17,-0.8634,3,Medium,687
G3HGE5,UNKNOWN,lowDO,Low Dissolved Oxygen,3398.4181843333336,24.81,-2.1467,3,Medium,209
G3ICK7,UNKNOWN,lowDO,Low Dissolved Oxygen,186.55883939,9.79,-1.8321,3,Medium,727
G3H7G5,UNKNOWN,lowDO,Low Dissolved Oxygen,107.62387058666667,28.15,0.6321,3,Trace,957
G3I408,UNKNOWN,lowDO,Low Dissolved Oxygen,375.35014798333333,7.84,-2.643,3,Medium,563
G3IFZ0,MKI67,lowDO,Low Dissolved Oxygen,358.4765962866666,11.91,0.0611,3,Trace,733
G3H927,AZIN2,lowDO,Low Dissolved Oxygen,4657.832664333334,17.59,3.7644,3,Medium,360
G3H316,AP3B1,lowDO,Low Dissolved Oxygen,3.6415047623333336,47.25,1.5055,3,Medium,1170
Q6V9Y0,AP3M1,lowDO,Low Dissolved Oxygen,1686.9327766699998,55.12,3.6637,3,Medium,553
G3HRE2,UNKNOWN,lowDO,Low Dissolved Oxygen,213.62697911,23.85,-0.8349,3,Trace,786
G3GYA9,UNKNOWN,lowDO,Low Dissolved Oxygen,5805.398704666666,14.66,0.5405,3,Low,196
G3HMU8,UNKNOWN,lowDO,Low Dissolved Oxygen,448.37260483666677,23.21,-0.4498,3,Trace,680
G3IDF4,ARFIP2,lowDO,Low Dissolved Oxygen,95.08053787633332,23.54,-1.5451,3,Medium,898
G3IMR5,ASNSD1,lowDO,Low Dissolved Oxygen,9467.222996333334,6.87,-0.2083,3,Low,150
G3HYQ4,UNKNOWN,lowDO,Low Dissolved Oxygen,3463.063285933333,33.31,0.7119,3,Trace,362
G3GS44,UNKNOWN,lowDO,Low Dissolved Oxygen,694.3865745666667,8.21,5.2065,3,Medium,684
G3HFL6,UNKNOWN,lowDO,Low Dissolved Oxygen,52.07120047333333,20.85,3.3381,3,Medium,988
G3HCK3,CLPP,lowDO,Low Dissolved Oxygen,1666.91260974,52.81,1.5717,3,Medium,535
G3HH13,KCNJ8,lowDO,Low Dissolved Oxygen,213.70608601,22.18,-2.2955,3,Medium,712
G3GZP6,UNKNOWN,lowDO,Low Dissolved Oxygen,468.6754267666667,25.12,1.1689,3,Medium,652
G3GT91,BCL6,lowDO,Low Dissolved Oxygen,409.6206905666666,23.7,-0.5526,3,Trace,717
G3HE81,UNKNOWN,lowDO,Low Dissolved Oxygen,815.3129828333334,9.69,-1.4304,3,Medium,504
G3HPL6,PRRC2C,lowDO,Low Dissolved Oxygen,1834.9457718333333,8.62,-0.9787,3,Medium,379
G3I1K9,UNKNOWN,lowDO,Low Dissolved Oxygen,249.48084755333332,16.49,0.844,3,Trace,847
G3H2P3,UNKNOWN,lowDO,Low Dissolved Oxygen,380.9629830866667,29.29,-1.7465,3,Medium,696
G3GU83,UNKNOWN,lowDO,Low Dissolved Oxygen,726.7911058,22.28,-0.3538,3,Trace,565
G3HXM5,UNKNOWN,lowDO,Low Dissolved Oxygen,257.79883924399996,28.32,-0.1669,3,Trace,800
G3I4A5,BOLA3,lowDO,Low Dissolved Oxygen,333.5400362666666,15.38,-1.513,3,Medium,669
G3HQG5,UNKNOWN,lowDO,Low Dissolved Oxygen,3513.220701,20.71,0.0948,3,Trace,301
G3I911,UNKNOWN,lowDO,Low Dissolved Oxygen,1372.321138,8.93,-1.847,3,Medium,381
G3H291,BRAP,lowDO,Low Dissolved Oxygen,54.303416096666666,28.29,-3.1862,3,Medium,869
G3I1P7,UNKNOWN,lowDO,Low Dissolved Oxygen,224.34419134866664,54.36,3.1587,3,Medium,868
G3HDY8,KCTD1,lowDO,Low Dissolved Oxygen,189.646867963,26.98,-1.3526,3,Medium,785
G3HUX6,UNKNOWN,lowDO,Low Dissolved Oxygen,532.6558229666666,5.18,2.9416,3,Medium,759
G3I9W1,UNKNOWN,lowDO,Low Dissolved Oxygen,1046.2061973333334,17.47,1.3169,3,Trace,607
G3HX31,UNKNOWN,lowDO,Low Dissolved Oxygen,1335.0491780666669,5.34,-0.6517,3,Medium,495
G3GWR5,UNKNOWN,lowDO,Low Dissolved Oxygen,760.9945429333333,20.93,1.0321,3,Medium,635
G3GRX6,UNKNOWN,lowDO,Low Dissolved Oxygen,357.34570107433325,58.83,1.6481,3,Medium,793
G3H750,CAST,lowDO,Low Dissolved Oxygen,1361.5322106,8.59,-0.7121,3,Trace,430
G3HAG0,CALB2,lowDO,Low Dissolved Oxygen,39.37122706866666,4.06,-0.1768,3,Trace,1009
G3I768,UNKNOWN,lowDO,Low Dissolved Oxygen,4510.642662666666,6.92,2.4276,3,Medium,305
G3ICU8,UNKNOWN,lowDO,Low Dissolved Oxygen,734.8510909,10.04,-0.2279,3,Trace,587
G3H7L2,UNKNOWN,lowDO,Low Dissolved Oxygen,1236.9936542333332,33.36,2.0386,3,Medium,489
G3I2X9,UNKNOWN,lowDO,Low Dissolved Oxygen,7.024206070333334,13.65,-2.0328,3,Medium,1086
G3GTI2,CDC42EP4,lowDO,Low Dissolved Oxygen,706.8608137,46.07,0.6405,3,Trace,681
G3HAM1,CDK5RAP1,lowDO,Low Dissolved Oxygen,398.87399623333334,11.83,2.7749,3,Medium,838
G3H3F0,UNKNOWN,lowDO,Low Dissolved Oxygen,2322.3717527333333,14.81,1.9935,3,Medium,474
G3HFJ8,CDON,lowDO,Low Dissolved Oxygen,994.46022366,56.19,1.4954,3,Medium,622
G3HRV9,RAD17,lowDO,Low Dissolved Oxygen,64.61333001000001,42.56,-3.8344,3,Medium,773
G3HIH2,UNKNOWN,lowDO,Low Dissolved Oxygen,491.86290261,72.22,-0.1521,3,Trace,654
G3HD28,UNKNOWN,lowDO,Low Dissolved Oxygen,426.53807955,20.29,0.4269,3,Trace,723
G3H7W7,UNKNOWN,lowDO,Low Dissolved Oxygen,83.89582216333334,24.03,1.0858,3,Medium,963
G3HVT4,UNKNOWN,lowDO,Low Dissolved Oxygen,1120.7788183333334,11.56,0.8509,3,Trace,593
G3HXM9,UNKNOWN,lowDO,Low Dissolved Oxygen,1912.8454758999999,5.84,-1.3512,3,Medium,354
G3GSE1,CHD2,lowDO,Low Dissolved Oxygen,484.5264930666667,8.6,0.3843,3,Trace,714
G3H0Q7,UNKNOWN,lowDO,Low Dissolved Oxygen,460.4228261333333,20.18,2.9839,3,Medium,633
G3IBI9,UNKNOWN,lowDO,Low Dissolved Oxygen,2000.6300319666668,6.62,3.498,3,Medium,582
G3H7Y0,COPA,lowDO,Low Dissolved Oxygen,234.27870753000002,9.77,-3.0018,3,Medium,618
G3I3K7,UNKNOWN,lowDO,Low Dissolved Oxygen,6.216663323666666,77.95,-0.1481,3,Medium,1054
G3I0N6,CCDC6,lowDO,Low Dissolved Oxygen,839.2924341526667,51.66,2.0148,3,Medium,643
